Id,Stations,LAT,LON
1,ABHANPUR JN,21.052778,81.745556
2,Abohar,30.145293,74.199304
3,Abu Road,24.48,72.78
4,Achalpur,21.257584,77.508675
5,Achhnera Jn,27.17737,77.753791
6,Adilabad,19.67,78.53
7,Adra Jn,23.5,86.67
8,ADRAJMOTI,23.264317,72.573719
9,Adrsh Ngr Delhi,28.635308,77.22496
10,AGARTALA,23.831457,91.286778
11,Agra Cantt,27.156621,78.013831
12,Agra Fort,27.179533,78.021112
13,Ahmedabad Jn,23.019417,72.610699
14,Aishbagh,26.836186,80.908676
15,Ait,25.893552,79.241013
16,Ajmer Jn,26.106942,74.318309
17,Ajni,21.126852,79.082688
18,Akola Jn,20.7,77
19,Aligarh Jn,27.918378,78.088726
20,Alipur Duar Jn,26.5,89.516667
21,Allahabad City,25.435801,81.846311
22,Allahabad Jn,25.362874,82.192454
23,Alleppey,9.498067,76.338848
24,Alwar,27.560932,76.625017
25,Amb Andaura,31.670387,76.110246
26,Ambala Cant Jn,30.378179,76.776697
27,Ambernath,19.182517,73.192602
28,Ambikapur,23.135492,83.181786
29,Ambliyasan,23.823638,72.202326
30,Amla Jn,21.924335,78.127856
31,AMRAVATI,20.937424,77.779551
32,Amritsar Jn,31.633979,74.872264
33,Anand Jn,19.170577,72.953885
34,ANAND NAGAR,27.1,83.283333
35,Anand Vihar TRM,28.830926,77.57173
36,Andal Jn,23.582115,87.185727
37,Angul,20.840601,85.153122
38,Anupgarh,29.189444,73.208333
39,Anuppur Jn,23.113655,81.697629
40,Ara,25.556044,84.660331
41,Arakkonam,13.075239,79.655824
42,Arsikere Jn,13.313889,76.256111
43,Arvi,21.001927,78.227678
44,Asangaon,19.439569,73.307954
45,Asansol Jn,23.68,86.99
46,Atari,31.597811,74.601978
47,Aunrihar Jn,25.541999,83.183741
48,Aurangabad,19.876165,75.343314
49,Ayodhya,26.8,82.2
50,Azamgarh,26.073704,83.185946
51,Azimganj Jn,24.232055,88.253419
52,Badampahar,22.088031,86.111558
53,Badlapur,19.166785,73.23679
54,Badnera Jn,20.857208,77.728414
55,Bagalkot,16.1817,75.6958
56,BAGHDOGRA,26.69953,88.318892
57,Baidyanathdham,24.489222,86.69203
58,BAIJNATHPAPROLA,32.051061,76.634986
59,Bairabi (Bhairabi),24.182318,92.536117
60,BAKA,20.982173,70.818723
61,Bakhtiyarpur Jn,25.456047,85.530512
62,Balaghat,21.812876,80.183829
63,Balamu Jn,27.051416,79.913673
64,Balangir,20.707423,83.484272
65,Balasore,21.494977,86.942658
66,BALGONA,23.458361,87.950711
67,Balharshah,19.833333,79.35
68,Ballia,25.758438,84.148732
69,Balurghat,25.22,88.77
70,BAMANHAT,26.071829,89.586304
71,Banda Jn,25.483333,80.333333
72,Bandikui Jn,27.05,76.57
73,Bandra Terminus,19.063575,72.84047
74,Bangalore Cant,12.971599,77.594563
75,Bangalore Cy Jn,12.971599,77.594563
76,Bangarapet,12.991491,78.17876
77,BANGRIPOSI,22.152718,86.54133
78,Bankura,23.237163,87.065222
79,Banmankhi Junction,25.884858,87.193537
80,Barabanki Jn,26.92,81.2
81,Barabhum,23.029546,86.361753
82,Baramati,18.15,74.58
83,Barauni Jn,25.471222,85.977745
84,Barbil,22.10534,85.378964
85,Barddhaman Jn,23.249141,87.870535
86,Bareilly,28.367036,79.430438
87,Bareilly City,28.367036,79.430438
88,BARHAJ BAZAR,26.283738,83.731205
89,Barharwa Jn,24.85662,87.777563
90,Barhni,27.497526,82.787235
91,BARI,26.64679,77.615302
92,BARI SADRI,24.412965,74.473549
93,Baripada,21.94,86.72
94,Barka Kana,23.62,85.48
95,Barmer,25.75,71.38
96,Barrackpore,22.767428,88.388346
97,Barsoi Jn,25.619325,87.925513
98,Barsuan,21.85281,85.098653
99,Barwadih Jn,23.847518,84.117125
100,Bayana Jn,26.915809,77.289361
101,Beas,31.51655,75.28897
102,Belda,22.08,87.35
103,Belgaum,15.85,74.5
104,Bellary Jn,15.139393,76.921443
105,Berhampore Court,24.089354,88.263912
106,Betul,21.92,77.9
107,Bhabua Road,25.173056,83.619337
108,Bhadrachalam Rd,17.647805,80.93672
109,Bhadrakh,21.058274,86.49584
110,Bhadran,22.3593,72.9005
111,Bhaga Jn,23.877557,86.879737
112,Bhagalpur,25.25,87
113,Bhagat Ki Kothi,26.258295,73.016743
114,Bharatpur Jn,27.216981,77.489515
115,Bharuch Jn,21.705136,72.995875
116,Bhatinda Jn,30.210994,74.945475
117,Bhatni Jn,23.907551,78.016685
118,Bhaunra,27.031083,84.653144
119,Bhavnagar Trmus,21.764473,72.15193
120,Bhawanipatna,19.9,83.17
121,BHIKHNA THORI,27.322649,84.61128
122,Bhilad,20.283333,72.883333
123,Bhildi,24.19541,72.027142
124,Bhilwara,25.321377,74.586953
125,Bhimavaram Jn,16.544893,81.521241
126,Bhimavaram Town,16.544893,81.521241
127,Bhind,26.5642,78.7883
128,Bhiwani,28.799045,76.133511
129,Bhojudih Jn,23.642419,86.446563
130,Bhopal Jn,23.259933,77.412615
131,Bhubaneswar,20.296059,85.82454
132,Bhuj,23.242,69.666932
133,Bhusawal Jn,21.05,75.77
134,Bidar,17.92,77.519722
135,BIHARIGANJ,25.733044,86.987742
136,Bijapur,16.83,75.71
137,Bikaner Jn,28.016667,73.311944
138,BILARA,26.1792,73.7056
139,Bilaspur Jn,22.079625,82.139141
140,Bilimora Jn,20.769026,72.977774
141,Bina Jn,24.18,78.2
142,Bir,18.989089,75.760078
143,Birmitrapur,22.408584,84.715882
