Source,Target,Weight,Type
1,631,2,Undirected
2,361,1,Undirected
3,469,1,Undirected
4,531,1,Undirected
5,389,1,Undirected
6,616,1,Undirected
6,594,1,Undirected
6,547,1,Undirected
6,758,1,Undirected
7,45,6,Undirected
7,81,1,Undirected
7,129,1,Undirected
7,78,1,Undirected
7,94,1,Undirected
7,275,1,Undirected
7,321,1,Undirected
7,408,1,Undirected
7,407,1,Undirected
7,512,1,Undirected
7,617,1,Undirected
7,111,1,Undirected
7,145,1,Undirected
8,788,2,Undirected
9,663,1,Undirected
10,227,2,Undirected
10,704,1,Undirected
10,460,1,Undirected
11,100,1,Undirected
11,217,1,Undirected
11,259,1,Undirected
11,298,1,Undirected
11,356,2,Undirected
11,299,1,Undirected
11,587,1,Undirected
11,764,1,Undirected
11,422,2,Undirected
11,566,1,Undirected
11,453,1,Undirected
11,457,1,Undirected
12,114,2,Undirected
12,72,2,Undirected
12,430,1,Undirected
12,389,1,Undirected
12,13,1,Undirected
12,16,1,Undirected
12,335,1,Undirected
12,645,1,Undirected
13,33,5,Undirected
13,776,4,Undirected
13,274,1,Undirected
13,314,2,Undirected
13,361,1,Undirected
13,409,2,Undirected
13,469,6,Undirected
13,548,2,Undirected
13,599,3,Undirected
13,596,3,Undirected
13,643,2,Undirected
13,525,8,Undirected
13,16,1,Undirected
13,721,1,Undirected
13,113,1,Undirected
13,343,3,Undirected
13,458,1,Undirected
13,457,1,Undirected
13,463,1,Undirected
13,615,2,Undirected
13,75,1,Undirected
13,702,1,Undirected
13,767,2,Undirected
13,218,1,Undirected
13,335,1,Undirected
13,160,1,Undirected
13,532,1,Undirected
13,12,1,Undirected
13,614,2,Undirected
13,422,2,Undirected
13,217,1,Undirected
13,781,2,Undirected
13,287,1,Undirected
13,778,2,Undirected
13,299,1,Undirected
13,308,1,Undirected
13,321,1,Undirected
13,768,1,Undirected
13,73,1,Undirected
13,485,1,Undirected
13,176,1,Undirected
13,575,1,Undirected
13,542,1,Undirected
13,210,1,Undirected
13,787,1,Undirected
13,727,1,Undirected
13,566,1,Undirected
13,809,1,Undirected
14,86,2,Undirected
14,472,2,Undirected
14,606,1,Undirected
14,715,2,Undirected
